customer_id,date,month,month_num,day_of_week,quarter,age,gender,region,occupation,segment,product,channel,amount,balance,tenure_months,num_products,monthly_txn,credit_score,satisfaction,fees_paid,churned,is_fraud
CUST-01001,2024-07-11,July,7,Thursday,Q3,21,Female,Abuja,Entrepreneur,Student,Savings Account,Mobile App,16000,104000,6,1,14,492,6.3,0,Yes,No
CUST-01002,2024-11-23,November,11,Saturday,Q4,40,Male,Abuja,Teacher,Retail,Savings Account,Branch,90000,736000,4,3,35,521,7.3,300,Yes,No
CUST-01003,2024-08-14,August,8,Wednesday,Q3,38,Male,Ibadan,Lawyer,Premium,Mortgage,USSD,2846000,35512000,42,2,35,653,7.7,5700,No,No
CUST-01004,2024-05-05,May,5,Sunday,Q2,55,Female,Enugu,Accountant,Premium,Investment Fund,USSD,445000,4145000,21,4,22,570,8.5,900,No,No
CUST-01005,2024-11-15,November,11,Friday,Q4,21,Female,Ibadan,Doctor,Student,Fixed Deposit,Mobile App,17000,147000,20,2,25,475,6.3,0,No,No
CUST-01006,2024-04-19,April,4,Friday,Q2,37,Female,Enugu,Civil Servant,Retail,Mobile Loan,Mobile App,45000,402000,98,1,33,425,7.6,0,Yes,No
CUST-01007,2024-03-10,March,3,Sunday,Q1,18,Male,Enugu,Teacher,Student,Investment Fund,Mobile App,23000,137000,51,5,15,609,8.9,0,No,No
CUST-01008,2024-12-11,December,12,Wednesday,Q4,39,Male,Abuja,Farmer,Retail,Investment Fund,USSD,206000,194000,97,2,34,602,6.5,400,No,No
CUST-01009,2024-11-13,November,11,Wednesday,Q4,28,Male,Abuja,Doctor,Retail,Mortgage,Web Portal,157000,388000,81,5,39,499,7.4,200,No,No
CUST-01010,2024-06-28,June,6,Friday,Q2,44,Male,Port Harcourt,Engineer,Premium,Current Account,Mobile App,3652000,47192000,1,5,8,771,8.1,3700,No,No
CUST-01011,2024-11-30,November,11,Saturday,Q4,57,Male,Enugu,Doctor,Corporate,Mobile Loan,Branch,1516000,16605000,37,2,43,701,6.3,4500,Yes,No
CUST-01012,2024-12-22,December,12,Sunday,Q4,35,Male,Kano,Civil Servant,Retail,Mortgage,Branch,596000,7491000,106,2,23,633,9.7,1800,Yes,No
CUST-01013,2024-07-08,July,7,Monday,Q3,57,Female,Lagos,Trader,SME,Credit Card,Web Portal,793000,4425000,47,4,34,434,9.0,1200,No,No
CUST-01014,2024-09-07,September,9,Saturday,Q3,50,Female,Lagos,Lawyer,Corporate,Insurance Plan,Mobile App,851000,1232000,86,1,20,697,9.2,900,No,No
CUST-01015,2024-03-19,March,3,Tuesday,Q1,60,Female,Ibadan,Lawyer,Corporate,Fixed Deposit,USSD,3383000,4050000,64,4,31,667,8.0,6800,No,No
CUST-01016,2024-05-22,May,5,Wednesday,Q2,18,Female,Enugu,Doctor,Student,Fixed Deposit,Mobile App,25000,169000,68,2,25,411,3.7,0,Yes,No
CUST-01017,2024-06-02,June,6,Sunday,Q2,18,Female,Port Harcourt,Doctor,Student,Credit Card,Mobile App,9000,120000,35,1,41,307,6.9,0,Yes,No
CUST-01018,2024-11-12,November,11,Tuesday,Q4,43,Male,Abuja,Teacher,Retail,Fixed Deposit,Web Portal,140000,1201000,27,3,36,498,7.6,200,No,No
CUST-01019,2024-06-16,June,6,Sunday,Q2,47,Female,Abuja,Lawyer,Corporate,Mortgage,Mobile App,6497000,25422000,69,1,21,821,7.8,6500,No,No
CUST-01020,2024-01-25,January,1,Thursday,Q1,50,Male,Enugu,Engineer,Premium,Mobile Loan,Agent Banking,1760000,17741000,73,3,14,663,6.7,4400,No,No
CUST-01021,2024-03-02,March,3,Saturday,Q1,21,Male,Port Harcourt,Lawyer,Student,Mortgage,Mobile App,2000,25000,81,3,22,353,7.7,0,No,No
CUST-01022,2024-08-20,August,8,Tuesday,Q3,32,Female,Enugu,Doctor,Corporate,Fixed Deposit,Agent Banking,3949000,7143000,73,1,3,706,6.1,9900,No,No
CUST-01023,2024-03-02,March,3,Saturday,Q1,23,Female,Ibadan,Doctor,Student,Mobile Loan,Web Portal,6000,21000,7,3,20,351,6.8,0,Yes,No
CUST-01024,2024-04-06,April,4,Saturday,Q2,47,Female,Abuja,Farmer,Retail,Mortgage,Mobile App,635000,4446000,115,3,41,579,6.4,600,Yes,No
CUST-01025,2024-05-30,May,5,Thursday,Q2,54,Female,Port Harcourt,Entrepreneur,SME,Fixed Deposit,USSD,152000,245000,77,2,6,602,9.0,300,No,No
CUST-01026,2024-12-13,December,12,Friday,Q4,38,Male,Abuja,Student,Student,Mobile Loan,Branch,9000,118000,117,1,42,408,9.1,0,No,No
CUST-01027,2024-11-28,November,11,Thursday,Q4,40,Male,Kano,Doctor,Corporate,Investment Fund,Web Portal,9850000,29957000,47,2,9,728,7.1,14800,No,No
CUST-01028,2024-08-20,August,8,Tuesday,Q3,32,Female,Port Harcourt,Entrepreneur,SME,Investment Fund,Mobile App,182000,2554000,66,2,27,719,6.8,200,Yes,No
CUST-01029,2024-09-19,September,9,Thursday,Q3,55,Female,Enugu,Farmer,Retail,Mortgage,Web Portal,54000,775000,59,4,43,714,8.0,100,Yes,No
CUST-01030,2024-06-28,June,6,Friday,Q2,55,Male,Ibadan,Doctor,Corporate,Mortgage,Web Portal,12827000,133232000,52,1,26,686,4.9,19200,No,No
CUST-01031,2024-09-09,September,9,Monday,Q3,18,Female,Enugu,Entrepreneur,Student,Mobile Loan,Mobile App,12000,99000,31,3,33,423,5.8,0,No,No
CUST-01032,2024-08-19,August,8,Monday,Q3,27,Male,Port Harcourt,Engineer,Retail,Savings Account,Web Portal,52000,43000,106,1,35,479,8.3,100,Yes,No
