LicenseID,CompanyName,MineralType,MineSite,LicenseType,LicenseIssueDate,LicenseExpiryDate,QuantityMined_tonnes,RevenueNGN,RoyaltyPaidNGN,MineStatus,ContactPhone,State,EnvironmentalClearance,NMRCRegistered
MML600037,Grace Afolabi Mining Ltd,Tin ,Nasarawa Barytes Mine,Small-Scale Mining,18.07.2013,05/16/2015,37547.31,"NGN 59,616,380,837","₦3,189,647,366.79",Suspended ,(586) 923-2260,Plateau,FALSE,false
MML600022,Grace Balogun Mining Ltd,Iron Ore,Plateau Mining Zone,Small-Scale Mining,08/06/2010,11/01/2019,45850.85,"N206,310,018,672","N9,077,313,562",INACTIVE,(651) 333-8726,Zamfara,Y,yes
MML600249,Sadiq Balogun Mining Ltd,limestone,Ebonyi Lead-Zinc Site,Quarry Lease,00/00/0000,11-Apr-2022,34619.29,"₦153,470,163,830.28",7231278781.28 naira,Inactive,+234965047735,Zamfara,no,N
MML600360,Sadiq Suleiman Mining Ltd,COAL,Cross River Barite Site,Small-Scale Mining,04/02/2018,29/10/2027,69615.98,"NGN 94,775,399,298",,Suspended ,03070534578,Zamfara,true,FALSE
MML600105,Chinedu Okafor Mining Ltd,Limestone,Benue Coal Field,Quarry Lease,09/11/2020,2022/07/27,11279.92,"NGN 11,917,791,958","NGN 681,689,465",Suspended,09521456232,Kogi,No,TRUE
MML600251,  Musa Olawale Mining Ltd   ,limestone,Sokoto Gypsum Deposit,Small-Scale Mining,09-Mar-2011,2012-12-12,42341.72,7157128968.19 naira,,Active,04262655110,Benue,0,no
MML600402,Aliyu Nnamdi Mining Ltd,Barite,Zamfara Gold Belt,Exploration,2021/01/06,03/12/2026,57702.33,"NGN 60,787,073,521",3628146768.86 naira,Inactive,63735160917,Sokoto,N,N
MML600076,Obinna Olawale Mining Ltd,Gold,Nasarawa Barytes Mine,Quarry lease,10.05.2017,2019-04-30,34071.13,"₦16,165,515,111.17","N1,119,743,326",Active,0869 993 8677,Nasarawa,Y,1
MML600224,Segun Suleiman Mining Ltd,gold,Zamfara Gold Belt,Small Scale,2016-10-16,04/13/2022,4692.02,"N21,051,781,352","NGN 1,176,436,200",Inactive,234-106-903-311,Sokoto,No,true
MML600007,Femi Nwosu Mining Ltd,Gold,Zamfara Gold Belt,Exploration,16/02/2020,25/06/2022,21072.35,7057451129.21 naira,217661464.36,Abandoned,0255 341 9283,Benue,N,No
MML600416,Emeka Afolabi Mining Ltd,Tin,Nasarawa Barytes Mine,exploration,26/02/2015,16-Jul-2022,70364.88,312491496069.05 naira,"₦20,945,891,843.31",Suspended,05158328182,Kogi,No,1
MML600189,Musa Okafor Mining Ltd,Iron ore,Plateau Mining Zone,exploration,2019-05-06,09/10/2021,73931.92,"₦78,286,039,700.71",4392721072.97,Inactive,234-395-004-797,Benue,Y,Y
MML600239,Obinna Mohammed Mining Ltd,gold,Kogi Iron Ore Field,Exploration,24 August 2013,2020-08-17,25632.93,106272364053.48,4907922735.44,Abandoned,00062312038,Sokoto,Yes,Y
MML600044,Zainab Eze Mining Ltd,Barite,Benue Coal Field,Small Scale,25-Nov-2021,16-Mar-2026,38566.08,"NGN 105,831,078,440","NGN 3,594,778,896",Suspended,0648 236 6299,Zamfara,No,No
MML600359,Femi Suleiman Mining Ltd,Iron ore,Zamfara Gold Belt,Quarry lease,08.07.2015,2020/10/23,35586.36,"NGN 80,500,090,365","4,133,746,123.14 ",INACTIVE,+234486289023,Zamfara,Yes,no
MML600333,Ngozi Abubakar Mining Ltd   ,Limestone,Kogi Iron Ore Field,Quarry lease,02-Sep-2013,02/21/2021,11693.11,,,INACTIVE,+234921851569,Benue,N,Yes
MML600318,Chioma Abubakar Mining Ltd,Zinc,Sokoto Gypsum Deposit,MINING LEASE,2011-10-13,14.06.2013,12888.93 short tons,26534514684.71 naira,1010446830.25,Reclaimed,234-741-124-903,Ebonyi,N,N
MML600279,Sadiq Abubakar Mining Ltd,Columbite,Nasarawa Barytes Mine,Small Scale,14-Apr-2012,04/08/2019,3567.88,"1,852,012,733.84 ","NGN 102,225,630",Suspended ,09788191485,Cross River,0,no
MML600427,Ibrahim Okonkwo Mining Ltd,gold,Benue Coal Field,Small-Scale Mining,06/14/2014,18/03/2017,71242.75,128955930805.79 naira,7571366376.68,Active,234-450-882-100,Plateau,N,true
MML600364,amara lawal mining ltd   ,Gypsum,Benue Coal Field,small-scale mining,23.09.2010,2014-06-03,22879.65,"₦100,582,396,290.58",5289816564.14,Inactive,+234290349446,Plateau,FALSE,1
MML600403,Ngozi Balogun Mining Ltd,Iron ore,Zamfara Gold Belt,Mining Lease,16 August 2020,29/03/2027,Unknown,"NGN 83,868,922,663",4390361345.93,active,234-982-708-086,Zamfara,Y,yes
MML600082,Yusuf Afolabi Mining Ltd,Iron Ore,Ebonyi Lead-Zinc Site,Quarry lease,2016-03-04,08-Nov-2017,47321.26,126959093076.69,"7,542,447,297.05 ",active,+234771906594,Sokoto,Yes,TRUE
MML600294,Emeka Okafor Mining Ltd,GOLD,Cross River Barite Site,Mining Lease,2010/03/11,2012/08/03,39329.13,unknown,7923563167.3,Reclaimed,0000000000,Zamfara,yes,FALSE
MML600336,NGOZI  OKEKE MINING LTD,Limestone,Nasarawa Barytes Mine,MINING LEASE,01/14/2014,2015/02/04,51975.65 short tons,170324801751.98,"N5,948,050,728",Abandoned,0690 295 9391,Ebonyi,TRUE,no
MML600123,IFEOMA AFOLABI MINING LTD,Lead,Nasarawa Barytes Mine,exploration,29/10/2020,22 September 2029,2634.91,"NGN 11,182,210,360","NGN 409,267,644",Abandoned,02711116152,Cross River,Y,true
MML600286,Kunle Okeke Mining Ltd,Gypsum,Nasarawa Barytes Mine,Small-Scale Mining,2018/05/26,19/10/2022,,4360567233.16 naira,"N155,736,680",INACTIVE,0759 017 5186,Kogi,Y,TRUE
MML600240,Segun Balogun Mining Ltd,Lead,Cross River Barite Site,Exploration,15.08.2012,2017/01/27,2108.11,"NGN 5,898,434,581","N228,945,331",Active,234-099-770-088,Benue,Y,false
MML600062,Halima Bello Mining Ltd,Limestone,Nasarawa Barytes Mine,exploration,04/02/2016,2020-01-19,81644.22,"NGN 13,496,962,536","₦505,352,218.22",Suspended,0966 319 3149,Zamfara,true,no
MML600160,HALIMA ADEKUNLE MINING LTD,Zinc,Benue Coal Field,MINING LEASE,24-Feb-2010,10-Oct-2016,74972.97,"150,511,927,321.90 ",,Active,(893) 246-0953,Kogi,Y,true
MML600173,Kemi Lawal Mining Ltd,Limestone,Sokoto Gypsum Deposit,MINING LEASE,2011-01-26,14.07.2016,N/A,"NGN 6,536,059,643","N252,414,081",Suspended,234-278-681-447,Ebonyi,no,true
MML600424,Segun Suleiman Mining Ltd,Limestone,Cross River Barite Site,Mining Lease,21.07.2016,16-Jan-2025,41230.35,"N148,244,568,084",,Abandoned,66506180919,Zamfara,no,false
MML600184,Fatima Eze Mining Ltd,Limestone,Plateau Mining Zone,Quarry lease,01 July 2011,26 December 2012,70991.52,"N44,546,858,283",,Reclaimed,06471027677,Sokoto,true,Yes
MML600208,IBRAHIM OKEKE MINING LTD,Tin,Plateau Mining Zone,Small Scale,09/11/2017,06/01/2025,29841.25 short tons,18406708618.97,"N1,070,794,589",Abandoned,234-672-400-499,Ebonyi,N,false
MML600431,Grace Nwosu Mining Ltd,Coal,Zamfara Gold Belt,Quarry lease,10-Sep-2014,27/02/2024,47805.03,"₦106,358,287,305.54",--,Abandoned,(552) 314-9135,Sokoto,Y,false
MML600400,Blessing Mohammed Mining Ltd,limestone,Benue Coal Field,Small Scale,11/30/2013,08 April 2022,12869.66,"₦38,208,779,459.62",?,Suspended ,01130554885,Kogi,N,No
MML600351,Yusuf Ogundimu Mining Ltd,Iron ore,Benue Coal Field,Quarry lease,12/01/2018,06/19/2025,58199.17,"₦228,294,273,125.74",15720694468.16 naira,active,+234061632945,Nasarawa,false,yes
MML600247,Amara Chukwu Mining Ltd,Coal,Zamfara Gold Belt,Exploration,2017/11/19,2019-03-18,7716.7,"₦29,432,140,265.88",1991784749.8,Abandoned,(614) 293-9685,Kogi,0,true
MML600451,Chidi Okonkwo Mining Ltd,Lead,Plateau Mining Zone,Quarry lease,24.05.2018,10/27/2025,40198.33,138089293268.76,"₦6,556,179,350.71",Reclaimed,invalid,Cross River,No,FALSE
