StockID,DrugName,DrugClass,SupplierName,UnitCostPrice,UnitSellingPrice,QuantityReceived,QuantityDispensed,ClosingStock,BatchNumber,ExpiryDate,ReceiptDate,StorageCondition,NafdacApproved,State
PH400425,Multivitamin Syrup,Supplements,Emzor Pharmaceutical,780.00 naira,"₦1,028.25",0,0,0,BN85097,19 September 2027,04/17/2025,Ambient Temperature,no,Plateau
PH400223,Amlodipine 5mg Tab,Antihypertensives,Emzor Pharmaceutical,290,N423,-10,0,-10,BN23178,27.02.2027,04 April 2024,Cold Chain (2-8°C),Y,Kaduna
PH400199,Metformin 850mg Tab,antidiabetics,Emzor Pharmaceutical,N350,N451,-10,0,-10,BN94351,27/05/2026,28.10.2024,ambient,0,Port Harcourt
PH400070,Lisinopril 10mg Tab,Antihypertensives,Evans Medical,NGN 320,N469,2402,1473,929,BN21137,2027-07-17,26 March 2024,Cold Chain (2-8°C),Y,Kano
PH400021,Multivitamin Syrup,SUPPLEMENTS,Fidson Healthcare,780.00 naira,"1,121.84 ",-10,0,-10,BN26782,unknown date,2024-09-29,Ambient Temperature,yes,Imo
PH400042,Lisinopril 10mg Tab,ANTIHYPERTENSIVES,May & Baker Nigeria,320,404.17 ,0,N/A,0,BN74554,01/22/2026,09-Mar-2024,room temp,No,Enugu
PH400176,Lisinopril 10mg Tab,nil,Fidson Healthcare,NGN 320,₦458.80,4776,654,4122,BN52961,23-Mar-2027,26 September 2024,COLD CHAIN,Yes,Anambra
PH400259,Paracetamol 1000mg Tab,ANALGESICS,May & Baker Nigeria,120,171.52,-10,0,-10,BN34193,22-Nov-2024,06/15/2025,Controlled,false,Enugu
PH400169,Ibuprofen 400mg Tab,analgesics,Evans Medical,N180,281.60 naira,--,0,-10,BN89182,09/06/2027,10/17/2024,Controlled,FALSE,Akwa Ibom
PH400358,  Artemether-Lumefantrine 80/480,-,May & Baker Nigeria,650,NGN 811,2418,1085,1333,BN60729,26-Jul-2025,2024-03-16,Refrigerated,No,oyo
PH400220,Paracetamol 1000mg Tab,ANALGESICS,Evans Medical,120.00 ,139.42,1874,1806,68,-,18 November 2026,18/04/2024,COLD CHAIN,N,Ogun
PH400425,Multivitamin Syrup,Supplements,Emzor Pharmaceutical,780.00 naira,"₦1,028.25",0,0,0,BN85097,19 September 2027,04/17/2025,Ambient Temperature,no,Plateau
PH400182,Amlodipine 5mg Tab,antihypertensives,Emzor Pharmaceutical,₦290.00,₦407.88,0,NIL,0,BN30127,23/07/2025,07/22/2024,room temp,TRUE,Imo
PH400029,Diazepam  5mg Tab,ANXIOLYTICS,May & Baker Nigeria,550.00 naira,770.09,4868,1585,3283,BN60467,09/04/2027,18/04/2025,COLD CHAIN,Y,Akwa Ibom
PH400097,Amoxicillin 500mg Cap,antibiotics,May & Baker Nigeria,480,₦619.49,0,0,0,BN73680,2027-03-29,18.05.2024,room temp,yes,Lagos
PH400350,Artemether-Lumefantrine 80/480,Antimalarials,May & Baker Nigeria,650.00 naira,793.21,0,0,0,BN56191,27 January 2026,2024/08/20,room temp,N,Kano
PH400270,Multivitamin Syrup,--,Fidson Healthcare,N780,unknown,-10,0,-10,BN37082,17 September 2027,01/19/2025,Refrigerated,0,Cross River
PH400071,Omeprazole 20mg Cap,GI Drugs,Emzor Pharmaceutical,410,572.41 ,0,0,0,BN56768,03-Aug-2027,27-Jan-2024,Ambient Temperature,no,Plateau
PH400353,Multivitamin Syrup,supplements,May & Baker Nigeria,N/A,"₦1,158.84",0,0,0,BN33322,09/14/2026,13-May-2024,ambient,1,Imo
PH400156,Insulin Glargine 100IU/mL,Antidiabetics,Fidson Healthcare,8500,12888.63 naira,3976,1255,2721,BN35934,19 February 2025,06.09.2024,room temp,true,Edo
PH400322,Lisinopril 10mg Tab,antihypertensives,Evans Medical,320.00 naira,N462,3399,1360,2039,BN40107,22.07.2026,2024-06-20,ambient,Y,Imo
PH400050,Cotrimoxazole 480mg Tab,Antibiotics,Evans Medical,₦200.00,NGN 269,0,0,0,BN88368,22-Sep-2027,06/27/2025,Cold Chain (2-8°C),N,Enugu
PH400328,Ibuprofen 400mg Tab,Analgesics,Evans Medical,NGN 180,N243,-10,0,-10,NIL,02-Jan-2027,2024/09/05,ambient,yes,Edo
PH400348,Metformin 850mg Tab,ANTIDIABETICS,Emzor Pharmaceutical,N350,433.09 naira,4864,1193,3671,BN31725,23 June 2027,04/06/2025,COLD CHAIN,false,Cross River
PH400395,Artemether-Lumefantrine 80/480,Antimalarials,May & Baker Nigeria,null,1010.09 naira,0,0,0,BN35426,15.04.2027,05/27/2025,COLD CHAIN,Y,Edo
PH400004,Ibuprofen 400mg Tab,Analgesics,May & Baker Nigeria,NGN 180,243.66,575,414,161,BN48950,28 February 2027,03.05.2025,Controlled,Y,Plateau
PH400234,Lisinopril 10mg Tab,ANTIHYPERTENSIVES,Evans Medical,320,NGN 500,-10,0,-10,  ,22 March 2025,2024-04-03,Controlled,yes,Kano
PH400015,Cotrimoxazole 480mg Tab,Antibiotics,Emzor Pharmaceutical,₦200.00,₦281.74,-10,0,-10,BN79081,00/00/0000,2025/04/09,Refrigerated,Yes,Rivers
PH400139,Artemether-Lumefantrine 80/480,Antimalarials,Fidson Healthcare,NULL,"1,006.15 ",-10,0,-10,BN92463,24-Oct-2025,,room temp,yes,Cross River
PH400051,Lisinopril 10mg Tab,antihypertensives,Evans Medical,320,469.34,1982,1651,331,BN14288,22.06.2027,12/14/2024,COLD CHAIN,Yes,Abuja
PH400302,Insulin Glargine 100IU/mL,Antidiabetics,Evans Medical,8500,"₦11,313.47",-10,0,-10,BN38050,14/12/2024,10.08.2024,COLD CHAIN,Y,Lagos
PH400397,   Metformin 850mg Tab   ,Antidiabetics,Evans Medical,350.00 naira,495.03 ,0,0,,BN58376,28.08.2027,2025-05-06,COLD CHAIN,no,Ibadan
PH400410,Metformin 850mg Tab,Antidiabetics,Emzor Pharmaceutical,350.00 naira,559.34,0,NIL,0,BN10971,2027/07/26,09/27/2024,COLD CHAIN,true,abuja
PH400244,Lisinopril 10mg Tab,ANTIHYPERTENSIVES,Fidson Healthcare,320,NGN 501,4997,1662,3335,BN12739,19-Jun-2025,2025/05/13,Cold Chain (2-8°C),true,Edo
PH400236,Ibuprofen 400mg Tab,Analgesics,Fidson Healthcare,180.00 ,275.71 naira,-10,0,-10,BN39936,29-Oct-2025,2024/04/30,ambient,yes,Enugu
PH400198,Multivitamin Syrup,SUPPLEMENTS,May & Baker Nigeria,₦780.00,1174.07 naira,-10,0,-10,BN16518,2025-11-20,01/03/2024,Refrigerated,N,Edo
PH400254,Artemether-Lumefantrine 80/480,Antimalarials,May & Baker Nigeria,650.00 naira,NGN 872,3906,2262,1644,BN33600,2026/03/20,04/29/2024,Controlled,N,Delta
PH400116,Insulin Glargine 100IU/mL,Antidiabetics,Evans Medical,"NGN 8,500","₦12,606.56",2210,2,2208,BN21896,03/02/2027,24-Nov-2024,Ambient Temperature,N,Edo
PH400118,Multivitamin Syrup,Supplements,Emzor Pharmaceutical,780.00 ,923.37 naira,-10,0,-10,BN49709,27.01.2027,28/02/2024,Controlled,0,Kaduna
PH400215,Amlodipine 5mg Tab,ANTIHYPERTENSIVES,Swipha Nigeria,₦290.00,446.73 naira,2477,--,253,--,04-Aug-2027,not set,Ambient Temperature,yes,ABUJA
PH400063,Omeprazole 20mg Cap,GI DRUGS,Evans Medical,410.00 naira,₦488.50,-10,0,-10,BN92280,08.02.2025,2024/07/30,COLD CHAIN,FALSE,LAGOS
PH400062,Amoxicillin 500mg Cap,ANTIBIOTICS,May & Baker Nigeria,NGN 480,NGN 756,2878,1870,1008,BN99108,2027-06-11,08.06.2024,room temp,Y,Enugu
PH400303,Amoxicillin 500mg Cap,Antibiotics,Evans Medical,480.00 naira,614.77,67,19,48,BN20573,06/19/2027,2024/12/23,Cold Chain (2-8°C),Yes,Kano
PH400359,Omeprazole 20mg Cap,nil,Emzor Pharmaceutical,410.00 naira,N/A,-10,0,-10,BN71719,15.12.2024,12/25/2024,Controlled,No,Lagos State
PH400341,Multivitamin Syrup,Supplements,May & Baker Nigeria,NGN 780,"NGN 1,023",1402,548,854,BN30164,05 September 2027,18-May-2025,Controlled,TRUE,Cross River
PH400099,Multivitamin Syrup,Supplements,Evans Medical,780,"₦1,081.48",n/a,1971,1044,BN34660,N/A,01/11/2025,ambient,TRUE,Imo
PH400318,Paracetamol  1000mg Tab,Analgesics,Evans Medical,N120,N147,--,0,-10,BN90965,2027/07/28,09/15/2024,Refrigerated,FALSE,kano
PH400305,Omeprazole 20mg Cap,gi drugs,Swipha Nigeria,N/A,₦496.14,4163,1239,2924,BN22419,19.02.2026,02-Mar-2024,ambient,N,Imo
PH400030,Diazepam 5mg Tab,ANXIOLYTICS,Evans Medical,₦550.00,₦850.10,1013,869,144,BN98786,2027-09-10,2025/01/10,Cold Chain (2-8°C),Yes,Plateau
PH400032,Artemether-Lumefantrine 80/480,Antimalarials,Evans Medical,650.00 naira,918.41 naira,419,122,297,BN53278,14-Feb-2025,2025/03/08,Controlled,yes,Ogun
PH400189,Paracetamol 1000mg Tab,ANALGESICS,Swipha Nigeria,N120,₦158.94,0,0,0,BN43034,17-Dec-2025,03/20/2024,ambient,N,Plateau
