Employee_ID,Department,Gender,Region,Age,Education_Level,Years_Experience,Job_Grade,Monthly_Salary_NGN,Training_Hours,Performance_Score,Performance_Rating,Job_Satisfaction,Absenteeism_Days,Promoted
EMP1001,Operations,Male,Lagos,45,OND/NCE,16,Grade 2,237000,31.0,59.3,Average,4.5,1,0
EMP1002,Customer Service,Male,Lagos,34,Secondary School,11,Grade 1,178000,32.0,49.4,Below Average,3.2,1,0
EMP1003,IT,Male,Lagos,30,HND/BSc,4,Grade 4,303000,40.0,51.1,Below Average,4.0,4,0
EMP1004,HR,Female,Lagos,47,HND/BSc,14,Grade 2,235000,35.0,56.0,Average,2.6,4,0
EMP1005,Sales,Female,Lagos,24,HND/BSc,1,Grade 2,214000,43.0,43.1,Below Average,3.5,1,0
EMP1006,Sales,Female,Abuja,22,MSc/MBA,4,Grade 3,245000,35.0,45.9,Below Average,3.3,5,0
EMP1007,Sales,Male,Lagos,37,MSc/MBA,9,Grade 3,271000,25.0,47.5,Below Average,3.7,2,0
EMP1008,Marketing,Male,Lagos,30,HND/BSc,8,Grade 2,242000,36.0,47.5,Below Average,3.2,4,0
EMP1009,HR,Female,Abuja,27,HND/BSc,6,Grade 2,233000,18.0,40.0,Below Average,3.4,7,0
EMP1010,IT,Male,Port Harcourt,39,HND/BSc,10,Grade 5,320000,33.0,60.6,Average,4.2,1,0
EMP1011,Sales,Male,Lagos,36,HND/BSc,10,Grade 2,240000,32.0,46.5,Below Average,3.1,0,0
EMP1012,Customer Service,Male,Ibadan,30,OND/NCE,8,Grade 1,150000,30.0,36.5,Poor,2.1,6,1
EMP1013,Marketing,Male,Port Harcourt,25,MSc/MBA,1,Grade 3,261000,30.0,40.1,Below Average,5.0,4,0
EMP1014,Finance,Female,Lagos,40,HND/BSc,11,Grade 5,328000,9.0,49.3,Below Average,4.7,5,0
EMP1015,Sales,Female,Ibadan,39,HND/BSc,10,Grade 3,274000,25.0,50.5,Below Average,2.3,7,0
EMP1016,Sales,Female,Kano,33,HND/BSc,6,Grade 2,225000,33.0,45.3,Below Average,4.1,6,1
EMP1017,Finance,Male,Lagos,47,HND/BSc,15,Grade 5,318000,34.0,61.8,Average,3.0,13,1
EMP1018,Operations,Male,Lagos,27,MSc/MBA,1,Grade 2,223000,20.0,38.0,Poor,3.7,3,0
EMP1019,Operations,Male,Ibadan,23,MSc/MBA,1,Grade 1,201000,47.0,36.8,Poor,,3,0
EMP1020,Finance,Male,Port Harcourt,29,HND/BSc,3,Grade 4,278000,22.0,37.9,Poor,3.3,2,1
EMP1021,HR,Male,Lagos,34,MSc/MBA,8,Grade 4,278000,44.0,54.2,Below Average,2.8,1,0
EMP1022,Sales,Female,Lagos,36,HND/BSc,7,Grade 3,254000,37.0,44.2,Below Average,2.9,3,0
EMP1023,Finance,Female,Lagos,32,MSc/MBA,7,Grade 4,312000,24.0,47.9,Below Average,2.7,1,0
EMP1024,Operations,Male,Abuja,36,MSc/MBA,10,Grade 3,253000,53.0,63.5,Average,2.8,10,1
EMP1025,Operations,Female,Port Harcourt,25,HND/BSc,0,Grade 1,168000,18.0,27.9,Poor,3.4,4,0
EMP1026,Marketing,Female,Lagos,44,Secondary School,15,Grade 2,242000,43.0,61.2,Average,2.9,4,0
EMP1027,Sales,Female,Abuja,33,HND/BSc,9,Grade 2,242000,44.0,49.6,Below Average,4.1,2,0
EMP1028,Operations,Female,Port Harcourt,42,HND/BSc,11,Grade 2,236000,24.0,46.5,Below Average,4.8,0,0
EMP1029,HR,Male,Lagos,36,MSc/MBA,12,Grade 4,299000,49.0,61.6,Average,3.0,0,0
EMP1030,Sales,Male,Lagos,37,HND/BSc,10,Grade 3,245000,29.0,48.5,Below Average,3.7,2,1
EMP1031,HR,Male,Port Harcourt,38,OND/NCE,9,Grade 3,252000,35.0,54.7,Below Average,3.9,0,0
EMP1032,Sales,Female,Ibadan,37,MSc/MBA,10,Grade 3,271000,35.0,55.0,Average,3.9,4,0
EMP1033,Sales,Male,Abuja,38,PhD,11,Grade 4,310000,30.0,52.1,Below Average,3.6,9,0
EMP1034,Customer Service,Male,Abuja,43,HND/BSc,14,Grade 2,223000,42.0,58.3,Average,4.2,9,0
EMP1035,Customer Service,Male,Lagos,35,OND/NCE,9,Grade 1,161000,42.0,48.6,Below Average,3.9,4,0
EMP1036,Marketing,Male,Abuja,39,HND/BSc,10,Grade 4,288000,11.0,49.4,Below Average,2.4,1,0
EMP1037,Finance,Female,Abuja,33,Secondary School,7,Grade 3,255000,48.0,57.9,Average,4.3,8,0
EMP1038,Sales,Female,Lagos,44,MSc/MBA,12,Grade 4,279000,12.0,45.1,Below Average,4.3,9,0
EMP1039,IT,Male,Lagos,29,HND/BSc,4,Grade 4,302000,44.0,48.7,Below Average,2.8,1,0
EMP1040,Operations,Male,Lagos,47,HND/BSc,15,Grade 3,264000,46.0,59.3,Average,3.5,5,0
EMP1041,Sales,Male,Lagos,34,HND/BSc,7,Grade 2,220000,19.0,39.7,Poor,4.1,1,0
EMP1042,Operations,Male,Lagos,24,HND/BSc,3,Grade 1,194000,27.0,37.9,Poor,3.3,6,1
EMP1043,Sales,Male,Lagos,35,HND/BSc,10,Grade 3,269000,19.0,50.5,Below Average,4.5,20,0
EMP1044,Customer Service,Male,Lagos,29,HND/BSc,5,Grade 1,175000,29.0,38.2,Poor,5.0,0,1
EMP1045,Finance,Male,Lagos,40,HND/BSc,10,Grade 4,309000,28.0,52.5,Below Average,2.8,9,0
EMP1046,IT,Female,Ibadan,29,Secondary School,4,Grade 2,230000,41.0,45.7,Below Average,2.3,4,1
EMP1047,Finance,Female,Abuja,31,HND/BSc,8,Grade 4,295000,48.0,54.6,Below Average,3.8,15,0
EMP1048,Operations,Male,Port Harcourt,22,MSc/MBA,0,Grade 1,211000,49.0,48.1,Below Average,,3,0
EMP1049,HR,Male,Ibadan,31,MSc/MBA,9,Grade 3,247000,25.0,42.1,Below Average,3.3,8,0
EMP1050,Sales,Female,Abuja,22,HND/BSc,1,Grade 2,226000,29.0,37.5,Poor,4.8,0,0
EMP1051,Customer Service,Male,Lagos,23,HND/BSc,1,Grade 1,165000,12.0,32.8,Poor,2.3,2,0
EMP1052,Marketing,Female,Abuja,39,MSc/MBA,11,Grade 4,287000,22.0,51.1,Below Average,4.1,0,0
EMP1053,Customer Service,Female,Abuja,40,OND/NCE,12,Grade 1,206000,44.0,54.1,Below Average,3.0,15,0
EMP1054,Customer Service,Male,Port Harcourt,37,MSc/MBA,10,Grade 3,254000,51.0,56.8,Average,5.0,7,0
EMP1055,HR,Male,Abuja,27,HND/BSc,4,Grade 1,209000,17.0,34.7,Poor,5.0,8,0
EMP1056,Customer Service,Female,Lagos,34,OND/NCE,9,Grade 1,190000,25.0,47.2,Below Average,2.8,11,0
EMP1057,Sales,Male,Lagos,34,HND/BSc,7,Grade 3,250000,32.0,40.5,Below Average,3.0,0,0
EMP1058,Sales,Female,Lagos,26,Secondary School,1,Grade 1,187000,35.0,41.0,Below Average,4.3,2,0
EMP1059,Sales,Female,Port Harcourt,45,OND/NCE,12,Grade 2,243000,22.0,45.0,Below Average,3.2,0,1
EMP1060,Finance,Female,Abuja,40,MSc/MBA,12,Grade 5,331000,37.0,59.8,Average,3.5,1,0
EMP1061,Operations,Male,Lagos,32,Secondary School,5,Grade 1,170000,26.0,35.8,Poor,3.5,1,0
EMP1062,Finance,Female,Kano,34,MSc/MBA,5,Grade 4,306000,32.0,50.2,Below Average,1.8,3,0
EMP1063,Marketing,Male,Port Harcourt,35,HND/BSc,9,Grade 3,255000,39.0,47.7,Below Average,3.5,1,0
EMP1064,Operations,Male,Lagos,22,HND/BSc,4,Grade 1,163000,32.0,38.9,Poor,2.9,0,0
EMP1065,Finance,Female,Lagos,32,HND/BSc,6,Grade 4,285000,27.0,52.5,Below Average,3.1,1,0
EMP1066,HR,Male,Lagos,29,HND/BSc,6,Grade 3,247000,31.0,41.2,Below Average,4.8,1,0
EMP1067,Sales,Female,Lagos,27,HND/BSc,3,Grade 1,182000,31.0,37.7,Poor,2.4,14,0
EMP1068,Marketing,Female,Lagos,32,HND/BSc,6,Grade 2,234000,28.0,41.4,Below Average,4.2,6,0
EMP1069,Sales,Male,Lagos,47,HND/BSc,18,Grade 4,303000,29.0,64.7,Average,3.2,14,1
EMP1070,Customer Service,Male,Lagos,38,HND/BSc,10,Grade 3,247000,51.0,57.5,Average,3.2,2,0
EMP1071,Marketing,Male,Lagos,30,MSc/MBA,6,Grade 4,285000,39.0,48.8,Below Average,4.2,1,0
EMP1072,Sales,Male,Ibadan,38,MSc/MBA,11,Grade 3,276000,28.0,53.9,Below Average,3.8,6,1
EMP1073,Sales,Male,Lagos,44,HND/BSc,13,Grade 3,268000,40.0,64.1,Average,,2,1
EMP1074,Marketing,Female,Abuja,40,HND/BSc,13,Grade 4,301000,28.0,56.1,Average,4.4,1,0
EMP1075,IT,Male,Abuja,34,OND/NCE,8,Grade 4,286000,46.0,58.0,Average,3.2,1,0
EMP1076,IT,Male,Kano,29,HND/BSc,3,Grade 4,285000,36.0,42.0,Below Average,2.9,1,0
EMP1077,Marketing,Female,Lagos,39,HND/BSc,12,Grade 3,269000,31.0,51.4,Below Average,2.5,1,1
EMP1078,Sales,Male,Lagos,37,Secondary School,8,Grade 1,202000,37.0,48.3,Below Average,2.8,2,0
EMP1079,Operations,Female,Kano,40,HND/BSc,12,Grade 2,237000,13.0,50.1,Below Average,5.0,4,1
EMP1080,Sales,Male,Ibadan,38,HND/BSc,10,Grade 4,282000,18.0,49.1,Below Average,4.6,0,0
EMP1081,Marketing,Male,Ibadan,41,HND/BSc,14,Grade 4,298000,18.0,53.2,Below Average,2.3,1,0
EMP1082,HR,Female,Lagos,30,MSc/MBA,6,Grade 3,246000,34.0,46.3,Below Average,2.3,7,0
EMP1083,Finance,Female,Lagos,43,HND/BSc,14,Grade 4,310000,53.0,63.7,Average,3.9,1,0
EMP1084,Sales,Female,Port Harcourt,35,Secondary School,10,Grade 1,194000,59.0,58.5,Average,4.0,2,0
EMP1085,Finance,Female,Kano,49,MSc/MBA,20,Grade 5,386000,40.0,78.1,Good,4.0,8,0
EMP1086,Finance,Female,Abuja,29,HND/BSc,5,Grade 3,273000,38.0,47.0,Below Average,,1,0
EMP1087,IT,Male,Abuja,46,MSc/MBA,16,Grade 5,386000,10.0,58.3,Average,3.4,0,1
EMP1088,IT,Male,Lagos,35,HND/BSc,6,Grade 5,358000,25.0,51.5,Below Average,3.8,3,0
EMP1089,Customer Service,Female,Ibadan,29,OND/NCE,3,Grade 1,167000,23.0,32.0,Poor,3.6,1,0
EMP1090,Operations,Female,Lagos,31,MSc/MBA,5,Grade 2,214000,25.0,39.5,Poor,1.5,3,0
EMP1091,Sales,Female,Lagos,32,MSc/MBA,6,Grade 3,250000,30.0,51.4,Below Average,3.3,7,0
EMP1092,IT,Male,Abuja,37,MSc/MBA,9,Grade 5,375000,26.0,55.2,Average,2.7,1,0
EMP1093,Marketing,Male,Abuja,38,HND/BSc,10,Grade 4,277000,8.0,43.0,Below Average,3.7,3,0
EMP1094,HR,Female,Lagos,30,HND/BSc,6,Grade 1,204000,,44.0,Below Average,,3,1
EMP1095,Marketing,Male,Lagos,34,HND/BSc,8,Grade 4,280000,19.0,48.0,Below Average,3.8,1,0
