CustomerID,Age,Gender,MaritalStatus,EducationLevel,MonthlyIncome_Naira,CustomerTenure_Years,BranchLocation,PreferredChannel,Q1_StaffCourteous,Q2_TransactionSpeed,Q3_StaffKnowledge,Q4_EaseOfUse,Q5_ProblemResolution,OverallSatisfaction,LikelihoodToRecommend,ComplaintsPast6Months,WouldContinueBanking
1001,22,Male,Married,Bachelor's,312700.0,0.5,Kano,Mobile App,2,3,3.0,3,3,5.0,5,1,No
1002,55,Female,Single,Master's,477600.0,8.0,Ibadan,ATM,4,4,4.0,5,5,7.0,6,2,Yes
1003,49,Female,Married,Bachelor's,269100.0,3.4,Ibadan,Mobile App,4,5,5.0,5,5,8.0,8,1,Yes
1004,39,Male,Married,Diploma,57600.0,2.7,Ibadan,ATM,2,3,3.0,1,3,5.0,5,1,No
1005,38,Female,Single,Master's,410100.0,1.8,Ibadan,Mobile App,4,3,4.0,4,3,7.0,6,0,Yes
1006,59,Male,Married,Bachelor's,231300.0,13.8,Ibadan,ATM,4,5,5.0,5,5,8.0,9,0,Yes
1007,22,Female,Married,Master's,335000.0,0.2,Lagos,Mobile App,1,1,1.0,1,1,3.0,2,2,No
1008,51,Male,Single,Diploma,115900.0,7.2,Lagos,Mobile App,4,4,4.0,4,5,6.0,5,0,Yes
1009,27,Female,Married,Bachelor's,227000.0,0.9,Lagos,Mobile App,2,2,2.0,3,4,3.0,3,4,Yes
1010,22,Male,Married,Bachelor's,,2.3,Abuja,Mobile App,3,2,2.0,3,3,5.0,2,0,No
1011,43,Male,Single,Diploma,183600.0,3.2,Lagos,ATM,4,1,3.0,2,3,6.0,4,4,Yes
1012,64,Male,Divorced,Master's,180200.0,5.8,Kano,Branch,3,1,2.0,3,2,3.0,4,2,No
1013,53,Female,Married,Diploma,184300.0,2.0,Port Harcourt,Branch,2,2,1.0,1,2,5.0,2,3,Yes
1014,54,Female,Single,Secondary,137100.0,2.4,Abuja,Branch,3,3,4.0,3,4,6.0,7,4,Yes
1015,52,Male,Widowed,Bachelor's,219100.0,5.8,Lagos,Branch,4,4,5.0,5,4,7.0,8,0,Yes
1016,55,Male,Married,Bachelor's,212500.0,9.6,Lagos,USSD,2,4,3.0,3,3,4.0,3,0,No
1017,42,Male,Single,Master's,285200.0,6.9,Lagos,Mobile App,4,2,4.0,3,2,6.0,6,0,Yes
1018,24,Female,Married,PhD,620700.0,1.5,Kano,USSD,3,4,4.0,4,3,7.0,8,2,Yes
1019,58,Male,Single,Diploma,149600.0,,Port Harcourt,Branch,2,2,1.0,3,1,4.0,3,1,Yes
1020,39,Male,Widowed,Bachelor's,172700.0,2.7,Kano,ATM,5,3,3.0,4,4,9.0,9,1,Yes
1021,42,Female,Married,Diploma,71100.0,6.1,Lagos,Mobile App,4,4,4.0,4,5,8.0,6,3,Yes
1022,35,Female,Married,Bachelor's,155700.0,3.9,Abuja,Mobile App,5,5,,5,5,10.0,8,0,Yes
1023,26,Male,Single,PhD,403000.0,0.6,Abuja,USSD,3,4,2.0,3,2,5.0,4,1,Yes
1024,62,Female,Married,Bachelor's,304600.0,14.9,Kano,USSD,1,2,2.0,3,3,5.0,5,3,No
1025,55,Male,Single,Bachelor's,296700.0,6.3,Kano,USSD,4,5,4.0,4,3,6.0,7,1,No
1026,48,Female,Single,Bachelor's,162700.0,2.0,Lagos,Branch,4,4,3.0,4,5,8.0,7,4,Yes
1027,37,Male,Single,Master's,435100.0,0.3,Ibadan,Mobile App,2,3,2.0,2,2,5.0,3,3,No
1028,57,Female,Married,Bachelor's,175700.0,8.3,Lagos,ATM,3,3,4.0,2,2,5.0,3,3,Yes
1029,44,Female,Single,Diploma,179700.0,9.1,Ibadan,Mobile App,4,4,3.0,3,3,7.0,7,2,Yes
1030,39,Female,Divorced,Bachelor's,160800.0,2.6,Lagos,ATM,1,2,3.0,2,3,6.0,8,1,Yes
1031,39,Male,Married,Secondary,110000.0,5.6,Lagos,Internet Banking,2,3,2.0,4,2,5.0,5,1,Yes
1032,28,Female,Single,Diploma,177600.0,0.3,Kano,Internet Banking,3,3,3.0,3,3,6.0,5,1,Yes
