CustomerID,Branch,Gender,Age,Education,AccountType,YearsWithBank,MonthlyIncome,NumTransactionsMonth,Q1_ServiceQuality,Q2_StaffFriendliness,Q3_AppUsability,Q4_WaitTimeSatisfaction,Q5_OverallSatisfaction,ComplaintFiled,CreditScore,LoanDefault,ChurnRisk
PB0001,Lagos,Female,37,Secondary,Current,8.4,45000,5,3,2,3,4,3,No,511,Yes,Low
PB0002,Lagos,Female,42,Bachelor,Savings,2.6,206394,13,4,5,3,2,3,No,642,Yes,Low
PB0003,Ibadan,Male,24,Secondary,Savings,0.4,90786,7,2,4,3,2,5,No,728,No,Low
PB0004,Ibadan,Male,34,Diploma,Savings,5.4,146808,11,3,3,2,3,3,No,623,No,Low
PB0005,Lagos,Male,53,Bachelor,Savings,25.6,257654,13,5,5,4,4,3,No,556,Yes,Low
PB0006,Port Harcourt,Female,34,Postgraduate,Current,13.9,490787,19,3,3,2,3,3,No,694,No,Low
PB0007,Kano,Male,49,Postgraduate,Current,9.6,356793,12,3,5,3,3,3,No,630,No,Medium
PB0008,Port Harcourt,Male,37,Postgraduate,Savings,11.5,366210,18,3,2,1,1,2,Yes,607,Yes,Medium
PB0009,Abuja,Male,50,Bachelor,Current,2.0,228995,15,4,3,4,3,4,No,599,No,Low
PB0010,Abuja,Male,27,Bachelor,Savings,7.8,223923,14,2,2,2,2,3,Yes,598,No,Low
PB0011,Port Harcourt,Female,25,Bachelor,Savings,5.9,169206,6,2,2,2,1,2,Yes,558,Yes,Low
PB0012,Lagos,Female,34,Secondary,Savings,5.5,131402,15,4,4,4,4,5,Yes,679,No,Low
PB0013,Kano,Male,38,Postgraduate,Current,15.1,322368,13,4,4,4,4,4,No,585,Yes,Low
PB0014,Abuja,Female,33,Bachelor,Savings,4.9,162418,8,4,2,3,2,4,Yes,651,No,Medium
PB0015,Kano,Male,39,Bachelor,Savings,9.1,303353,16,3,4,2,3,3,No,607,No,Low
PB0016,Lagos,Female,34,Diploma,Savings,5.9,114575,14,2,4,2,2,3,No,630,Yes,Medium
PB0017,Port Harcourt,Female,28,Secondary,Current,0.5,79068,11,3,2,3,1,4,Yes,639,No,Medium
PB0018,Lagos,Male,34,Diploma,Savings,4.1,116303,5,3,4,3,2,4,No,705,No,Low
PB0019,Abuja,Female,31,Secondary,Savings,11.2,64368,11,3,4,2,3,4,No,688,No,Low
PB0020,Lagos,Male,38,Bachelor,Savings,2.4,183279,8,4,3,4,3,4,Yes,784,No,Medium
PB0021,Abuja,Male,34,Bachelor,Current,4.0,273544,11,1,1,1,2,2,No,609,No,Low
PB0022,Kano,Male,42,Diploma,Savings,18.5,92383,16,2,2,3,4,2,No,577,No,Medium
PB0023,Ibadan,Male,46,Diploma,Savings,6.0,191735,11,4,3,3,3,2,No,512,Yes,Low
PB0024,Lagos,Female,59,Diploma,Savings,22.9,161126,9,3,4,3,2,3,No,698,No,Low
