CustomerID,Age,Gender,MaritalStatus,EmploymentStatus,MonthlyIncome_Naira,StoreLocation,PreferredShoppingChannel,MembershipTier,YearsAsCustomer,VisitsPerMonth,Q1_ProductAvailability,Q2_StaffHelpfulness,Q3_StoreCleanliness,Q4_CheckoutSpeed,Q5_ValueForMoney,MonthlySpend_Naira,OverallSatisfaction,LikelihoodToRecommend,ReturnsPast6Months,WouldShopAgain
2001,63,Female,Married,Student,53800.0,Port Harcourt,In-Store,Platinum,8.5,4,3,4,4.0,3,4,11600.0,7.0,6,5,Yes
2002,48,Female,Married,Employed,176200.0,Kano,Website,Regular,2.3,0,3,3,3.0,3,3,30000.0,6.0,4,1,Yes
2003,50,Male,Married,Student,58000.0,Kano,In-Store,Gold,4.5,3,4,3,,3,3,13800.0,7.0,5,1,Yes
2004,61,Male,Married,Employed,366600.0,Abuja,Social Media Order,Gold,11.8,3,3,5,3.0,3,3,83800.0,6.0,6,2,Yes
2005,45,Female,Single,Self-employed,147200.0,Lagos,Website,Silver,7.4,3,4,4,4.0,4,4,20800.0,6.0,3,1,Yes
2006,55,Male,Single,Unemployed,35000.0,Lagos,In-Store,Gold,,4,3,4,4.0,3,4,10300.0,5.0,5,0,No
2007,58,Female,Married,Self-employed,186300.0,Kano,In-Store,Silver,2.2,5,4,5,3.0,4,4,27000.0,7.0,6,2,No
2008,28,Female,Single,Employed,263700.0,Ibadan,Social Media Order,Regular,1.4,3,2,2,4.0,4,4,34600.0,6.0,6,1,Yes
2009,20,Female,Divorced,Employed,160800.0,Lagos,Mobile App,Silver,0.4,4,2,1,3.0,2,2,,4.0,3,2,No
2010,32,Female,Married,Employed,304300.0,Ibadan,In-Store,Regular,3.2,1,3,2,3.0,4,3,29100.0,6.0,6,2,No
2011,31,Female,Single,Employed,179200.0,Abuja,Mobile App,Regular,3.3,2,3,2,2.0,1,3,14600.0,4.0,3,3,No
2012,59,Female,Divorced,Employed,262200.0,Lagos,In-Store,Regular,8.1,2,5,5,4.0,4,4,30700.0,5.0,4,1,No
