RespondentID,Region,Gender,Age,Education,Product,MonthlyIncome_NGN000,PurchaseFrequency,LoyaltyYears,Taste,Price,Packaging,Availability,OverallSatisfaction,MonthlySpend_NGN,WouldRecommend
1,Ibadan,Female,56.0,OND/HND,Grand Malt,72.0,8,10,3,2,4,4,3,1228.0,No
2,Abuja,Female,53.0,Bachelor's Degree,Supreme Ice Cream,140.0,9,12,3,3,4,5,3,1311.0,Yes
3,Kano,Male,44.0,Secondary,Supreme Ice Cream,84.0,3,5,3,3,4,3,4,786.0,Yes
4,Port Harcourt,Male,60.0,Bachelor's Degree,Swan Water,145.0,9,8,3,4,4,1,3,1536.0,Yes
5,Lagos,Male,24.0,Bachelor's Degree,Swan Water,120.0,8,0,3,2,4,4,3,1429.0,Yes
6,Kano,Female,62.0,Postgraduate,Supreme Ice Cream,237.0,1,11,4,2,4,4,3,200.0,Yes
7,Ibadan,Female,58.0,Bachelor's Degree,Swan Water,187.0,5,7,4,1,4,3,3,451.0,Yes
8,Ibadan,Male,42.0,Secondary,Grand Malt,75.0,11,7,4,3,4,3,4,1486.0,No
9,Lagos,Male,53.0,OND/HND,Supreme Ice Cream,119.0,8,8,4,2,3,3,3,1023.0,No
10,Abuja,Female,42.0,Secondary,Gala,97.0,20,3,5,3,2,5,3,3244.0,No
11,Abuja,Male,30.0,Secondary,Supreme Ice Cream,94.0,10,9,3,4,5,4,4,1800.0,No
12,Kano,Female,56.0,Bachelor's Degree,Supreme Ice Cream,158.0,20,11,4,3,4,4,4,2966.0,Yes
13,Port Harcourt,Male,29.0,Bachelor's Degree,Gala,158.0,14,5,5,3,2,4,4,2542.0,Yes
14,Ibadan,Male,,Bachelor's Degree,Gala,156.0,1,2,5,3,3,3,4,573.0,No
15,Abuja,Female,42.0,Postgraduate,Swan Water,,5,6,2,4,4,4,3,836.0,Yes
16,Lagos,Male,58.0,Bachelor's Degree,Supreme Ice Cream,,15,3,4,4,3,3,4,2016.0,Yes
17,Port Harcourt,Male,36.0,Bachelor's Degree,Grand Malt,99.0,11,5,5,3,3,1,3,2131.0,Yes
18,Lagos,Male,41.0,Secondary,Gala,36.0,7,10,4,3,5,4,4,1035.0,No
19,Ibadan,Male,19.0,OND/HND,Gala,129.0,11,1,4,4,3,4,4,1698.0,Yes
20,Port Harcourt,Male,23.0,Bachelor's Degree,Mr Chips,165.0,19,11,3,4,3,4,4,2761.0,Yes
21,Ibadan,Male,20.0,Postgraduate,Grand Malt,245.0,8,3,3,2,4,5,3,953.0,Yes
22,Abuja,Male,21.0,Secondary,Gala,52.0,1,14,4,3,4,5,3,200.0,Yes
23,Kano,Male,59.0,Bachelor's Degree,Gala,105.0,7,11,3,2,4,2,3,1248.0,Yes
24,Kano,Female,58.0,Bachelor's Degree,Gala,133.0,19,4,4,4,4,3,4,2626.0,Yes
25,Ibadan,Female,57.0,Secondary,Swan Water,63.0,16,9,4,4,4,4,4,3323.0,No
26,Lagos,Male,20.0,OND/HND,Supreme Ice Cream,92.0,17,1,3,3,4,5,3,2232.0,Yes
27,Abuja,Male,21.0,Postgraduate,Gala,234.0,19,1,4,3,3,5,4,2492.0,Yes
28,Lagos,Female,31.0,Bachelor's Degree,Gala,129.0,3,15,5,3,4,5,4,613.0,Yes
29,Lagos,Female,45.0,OND/HND,Supreme Ice Cream,101.0,6,12,2,4,4,3,4,1367.0,Yes
30,Port Harcourt,Female,34.0,Postgraduate,Grand Malt,170.0,2,2,4,3,4,3,3,333.0,Yes
31,Ibadan,Male,41.0,OND/HND,Swan Water,104.0,1,4,3,3,4,4,4,330.0,Yes
32,Kano,Male,26.0,Postgraduate,Supreme Ice Cream,200.0,17,3,4,4,4,2,3,2013.0,Yes
33,Lagos,Male,53.0,OND/HND,Gala,68.0,19,6,4,2,4,3,3,2652.0,Yes
34,Abuja,Male,33.0,Bachelor's Degree,Gala,133.0,4,4,4,3,3,3,4,289.0,Yes
35,Abuja,Female,21.0,OND/HND,Gala,84.0,15,5,5,2,4,5,4,1688.0,Yes
36,Lagos,Male,53.0,OND/HND,Mr Chips,82.0,11,8,4,2,3,3,3,1692.0,Yes
37,Lagos,Male,61.0,Postgraduate,Grand Malt,253.0,2,3,4,2,4,2,3,200.0,No
38,Abuja,Male,18.0,OND/HND,Grand Malt,87.0,19,14,1,4,5,4,4,2460.0,Yes
39,Lagos,Female,38.0,Secondary,Grand Malt,53.0,18,11,5,4,3,3,4,2543.0,No
40,Port Harcourt,Male,57.0,OND/HND,Grand Malt,30.0,12,12,4,4,4,3,3,1553.0,No
41,Abuja,Female,51.0,Bachelor's Degree,Grand Malt,113.0,15,2,4,2,4,3,3,2378.0,Yes
42,Ibadan,Male,59.0,Bachelor's Degree,Gala,132.0,8,11,3,4,4,3,3,1302.0,No
43,Ibadan,Female,37.0,Postgraduate,Gala,179.0,16,13,3,4,5,4,4,2682.0,Yes
44,Lagos,Male,35.0,OND/HND,Supreme Ice Cream,131.0,9,2,4,3,3,2,3,1586.0,Yes
45,Ibadan,Female,52.0,OND/HND,Swan Water,85.0,20,12,3,3,4,3,3,3349.0,Yes
46,Ibadan,Female,25.0,Secondary,Gala,99.0,2,5,4,1,3,4,4,307.0,Yes
47,Abuja,Female,29.0,Bachelor's Degree,Mr Chips,142.0,4,12,5,3,3,3,4,702.0,Yes
48,Lagos,Female,46.0,Postgraduate,Swan Water,201.0,20,7,2,2,4,2,2,3170.0,Yes
49,Port Harcourt,Female,50.0,Bachelor's Degree,Swan Water,137.0,6,12,4,3,4,4,4,953.0,Yes
50,Lagos,Female,23.0,Bachelor's Degree,Gala,140.0,7,2,4,2,4,5,4,942.0,Yes
51,Lagos,Female,42.0,OND/HND,Gala,142.0,16,6,4,4,5,4,4,2312.0,Yes
52,Lagos,Male,35.0,Postgraduate,Gala,130.0,4,4,2,4,3,2,3,365.0,Yes
53,Ibadan,Female,42.0,Bachelor's Degree,Mr Chips,80.0,11,3,4,2,3,4,3,1783.0,No
54,Port Harcourt,Female,64.0,Secondary,Swan Water,44.0,6,4,1,2,5,2,2,875.0,Yes
55,Ibadan,Female,21.0,OND/HND,Mr Chips,90.0,4,6,4,1,4,4,3,408.0,Yes
56,Ibadan,Male,65.0,Secondary,Gala,81.0,20,2,2,3,3,3,3,2808.0,Yes
57,Abuja,Male,39.0,OND/HND,Supreme Ice Cream,104.0,4,11,4,3,3,2,3,245.0,Yes
58,Port Harcourt,Female,55.0,Secondary,Supreme Ice Cream,48.0,2,8,4,1,3,3,3,597.0,Yes
59,Lagos,Male,,Bachelor's Degree,Mr Chips,171.0,14,13,5,4,4,4,4,2137.0,Yes
60,Lagos,Male,32.0,Bachelor's Degree,Mr Chips,171.0,18,11,3,3,3,3,3,2455.0,No
61,Port Harcourt,Male,54.0,OND/HND,Gala,96.0,3,2,3,2,4,4,4,700.0,Yes
62,Abuja,Male,51.0,OND/HND,Grand Malt,119.0,15,1,3,3,3,3,3,2091.0,Yes
63,Port Harcourt,Male,24.0,Postgraduate,Gala,208.0,11,6,5,4,4,4,4,1245.0,Yes
64,Ibadan,Male,51.0,Bachelor's Degree,Grand Malt,123.0,17,7,4,4,3,4,4,2866.0,Yes
65,Port Harcourt,Male,54.0,Bachelor's Degree,Gala,161.0,3,3,3,3,3,3,3,302.0,Yes
66,Port Harcourt,Male,36.0,OND/HND,Gala,93.0,20,12,3,4,4,3,3,2885.0,Yes
67,Port Harcourt,Male,62.0,Postgraduate,Mr Chips,200.0,13,9,2,2,4,2,2,1978.0,Yes
68,Lagos,Female,48.0,OND/HND,Gala,134.0,17,11,4,3,4,4,4,2903.0,Yes
69,Lagos,Male,34.0,OND/HND,Supreme Ice Cream,30.0,8,1,2,3,3,3,2,1208.0,Yes
70,Abuja,Female,18.0,Postgraduate,Supreme Ice Cream,157.0,19,13,5,3,4,1,3,2503.0,Yes
71,Lagos,Female,50.0,Bachelor's Degree,Gala,,13,3,4,4,3,3,4,2121.0,Yes
